STATION,STNAME,SHORTNAME,GAUGE,DATUM,CATCHAREA,ZONE,EASTING,NORTHING,GRDATUM,LATITUDE,LONGITUDE,LLDATUM,POSACC,ELEV,ELEVACC,FIELD,LAB,ACTIVE,COMMENCED,CEASED,REGION
221001,GENOA RIVER @ ROCKTON,GENOA R @ ROCKTON,414.71600000000001,AHD,125.59999999999999,55,705825,5887218,UTM,-37.138654989999999,149.31729609999999,WGS84,9,429,1,Y,Y,1,1993-05-26,,221
221201,CANN RIVER (WEST BRANCH) @ WEERAGUA,CANN (WB) @ WEERAGUA,153.95599999999999,AHD,311,55,694682,5861473,UTM,-37.372935589999997,149.19866060000001,WGS84,9,169,1,Y,Y,1,1922-04-22,,221
221207,ERRINUNDRA RIVER @ ERRINUNDRA,ERRINUNDRA @ ERRINUN,0,GAU,162,55,669418,5853798,UTM,-37.447037190000003,148.91525559999999,WGS84,9,168,1,n,n,1,1968-02-20,,221
221208,WINGAN RIVER @ WINGAN INLET NATIONAL PARK,WINGAN @WINGAN INLET,0,ARB,420,55,719710.30000000005,5825779.5,UTM,-37.688768000000003,149.49176727,WGS84,9,50,1,Y,Y,1,1979-06-22,,221
221209,CANN RIVER (EAST BRANCH) @ WEERAGUA,CANN (EBR) WEERAGUA,0,,154,55,695470,5863398,UTM,-37.355431109999998,149.2070458,WGS84,9,202,1,Y,N,1,1972-10-23,,221
221210,GENOA RIVER @ THE GORGE,GENOA @ GORGE,0,,837,55,723046,5856007,UTM,-37.415770780000003,149.52037569999999,WGS84,9,102,1,Y,Y,1,1972-08-22,,221
221211,COMBIENBAR RIVER @ COMBIENBAR,COMBIENBAR @ COMB.,0,GAU,179,55,675439,5854433,UTM,-37.440194490000003,148.98313479999999,WGS84,9,189,1,Y,Y,1,1974-08-12,,221
221212,BEMM RIVER @ PRINCES HIGHWAY,BEMM @ PRINCES HWY,0,,725,55,667855,5836059,UTM,-37.607126190000002,148.90164870000001,WGS84,9,82,1,Y,Y,1,1975-04-30,,221
221218,BETKA RIVER @ MINERS TRACK,BETKA R @ MINERS TRK,0,ARB,0,55,732688,5835801,UTM,-37.595335239999997,149.63561819,WGS84,1,0,1,N,N,1,1996-01-16,,221
221224,CANN RIVER U/S CANN RIVER OFFTAKE,CANN RV U/S O/TAKE,0,,0,55,690544,5843171,UTM,-37.538646839999998,149.156689,WGS84,,0,,y,N,1,2009-03-11,,221
221225,BEMM RIVER U/S OF PUMPHOUSE,BEMM R U/S PUMPHOUSE,0,,0,55,671929,5822377,UTM,-37.729623050000001,148.95100429999999,WGS84,,0,,N,N,1,2009-09-23,,221
221800,RAINGAUGE (GENOA RIVER) @ THE GORGE,RG @ THE GORGE,0,ARB,0,55,722715,5855916.4000000004,,-37.416666669999998,149.5166667,,1,0,1,N,N,1,1972-08-22,1992-10-01 00:00:00.000,221
222200,SNOWY RIVER @ JARRAHMOND,SNOWY R @ JARRAHMOND,0,AHD,13421,55,620071,5830901,UTM,-37.661086070000003,148.3613139,WGS84,9,27,1,Y,Y,1,1889-04-01,,222
222201,SNOWY RIVER @ ORBOST,SNOWY R @ ORBOST,-0.14099999999999999,AHD,13572,55,627898,5825644.4000000004,UTM,-37.707393070000002,148.45095033000001,WGS84,9,7,1,Y,Y,1,1907-04-13,,222
222202,BRODRIBB RIVER @ SARDINE CREEK,BRODRIBB @ SARDINE,78.590999999999994,AHD,658,55,636752,5847240,UTM,-37.511534490000003,148.54732540000001,WGS84,9,103,1,Y,N,1,1922-04-24,,222
222203,SNOWY RIVER @ MARLO JETTY,SNOWY @ MARLO JETTY,-0.745,AHD,0,55,634504.80000000005,5815384.5,,-37.798888890000001,148.5277778,,1,0,1,N,N,1,1934-06-25,,222
222205,SNOWY RIVER @ NEWMERELLA-LOCHEND ROAD,SNOWY @ NEWMERELLA,-0.47899999999999998,ARB,13600,55,633887.77500000002,5820634.9510000004,MGA94,-37.751804,148.519811,GDA94,1,0,1,N,N,1,1960-03-01,,222
222206,BUCHAN RIVER @ BUCHAN,BUCHAN @ BUCHAN,74.849999999999994,AHD,822,55,603711,5849459,UTM,-37.495843239999999,148.17324239999999,WGS84,9,90,9,Y,Y,1,1926-03-27,,222
222209,SNOWY RIVER @ MCKILLOP BRIDGE,SNOWY @ MCKILLOP BR.,0,ARB,10619,55,625612,5894902,UTM,-37.083627559999996,148.41325509999999,WGS84,9,174,9,Y,Y,1,1941-03-01,,222
222210,DEDDICK RIVER @ DEDDICK (CASEYS),DEDDICK @ DEDDICK,0,ARB,857,55,626577.69999999995,5894693.7000000002,UTM,-37.085374700000003,148.42415223,WGS84,9,0,1,Y,N,1,1964-03-26,,222
222213,SUGGAN BUGGAN RIVER @ SUGGAN BUGGAN,S.BUGGAN @ SUGGAN,0,ARB,357,55,618048,5909278,UTM,-36.955055360000003,148.32592080000001,WGS84,9,0,1,Y,N,1,1957-07-24,,222
222217,RODGER RIVER @ JACKSONS CROSSING,RODGER @ JACKSONS,0,ARB,447,55,620346,5858744,UTM,-37.410156039999997,148.3598666,WGS84,9,0,1,Y,Y,1,1976-06-03,,222
222219,SNOWY RIVER @ D/S OF BASIN CREEK,SNOWY @ BASIN CRK,0,ARB,11964,55,612580,5848984,UTM,-37.49908473,148.27362479999999,WGS84,9,0,1,Y,Y,1,1978-12-12,,222
222221,BUCHAN RIVER @ EGW OFFTAKE,BUCHAN R @ EGW O/T,0,,0,55,603874,5852271,UTM,-37.470483850000001,148.17468909999999,WGS84,,0,,y,N,1,2009-05-14,,222
222222,ROCKY RIVER U/S OT THE WEIR,ROCKY RIVER U/S OT T,0,,0,55,645938,5834053,UTM,-37.628939219999999,148.65385079999999,WGS84,,0,,y,N,1,2009-03-11,,222
223202,TAMBO RIVER @ SWIFTS CREEK,TAMBO @ SWIFTS CREEK,280.863,AHD,943,55,564619,5875047,UTM,-37.268781199999999,147.72881855,WGS84,9,305,1,Y,Y,1,1937-06-01,,223
223204,NICHOLSON RIVER @ DEPTFORD,NICHOLSON @ DEPTFORD,0,ARB,287,55,561543,5839104,UTM,-37.592946310000002,147.697124,WGS84,9,0,1,Y,Y,1,1961-05-12,,223
223205,TAMBO RIVER @ D/S OF RAMROD CREEK,TAMBO @ DS RAMROD,15.452,AHD,2681,55,576710,5830147,UTM,-37.672530620000003,147.86985129999999,WGS84,9,0,1,Y,N,1,1965-06-09,,223
223209,TAMBO RIVER @ BATTENS LANDING,TAMBO @ BATTENS,0,ARB,2781,55,574796.09999999998,5820757.9000000004,UTM,-37.757306200000002,147.84911607000001,WGS84,9,0,1,Y,N,1,1977-01-26,,223
223210,NICHOLSON RIVER @ SARSFIELD,NICHOLSON @ SARSFIEL,0,ARB,471,55,562646,5823050,UTM,-37.737561550000002,147.71099620000001,WGS84,9,42,1,Y,Y,1,1977-09-21,,223
223212,TIMBARRA RIVER @ D/S OF WILKINSON CREEK,TIMBARRA DS WILKINSO,0,ARB,438,55,594066,5855069,UTM,-37.446318429999998,148.06343369999999,WGS84,9,200,1,Y,N,1,1982-05-06,,223
223214,TAMBO RIVER @ U/S OF SMITH CREEK,TAMBO @ U/S SMITH CK,0,ARB,32,55,582588,5909736,UTM,-36.954706559999998,147.92764,WGS84,9,950,1,Y,Y,1,1989-03-02,,223
223215,HAUNTED STREAM @ HELLS GATE,HAUNTED @ HELLS,153.892,AHD,180,55,573015,5851389,UTM,-37.481387050000002,147.82583885,WGS84,9,169,1,Y,N,1,1990-02-08,,223
223217,NICHOLSON RIVER @ PUMP HOUSE,NICHOLSON R @ PUMP H,0,AHD,0,55,564088,5821594,UTM,-37.750583949999999,147.7274893,GDA94,,0,,y,N,1,2011-01-20,,223
