STATION,STNAME,SHORTNAME,GAUGE,DATUM,CATCHAREA,ZONE,EASTING,NORTHING,GRDATUM,LATITUDE,LONGITUDE,LLDATUM,POSACC,ELEV,ELEVACC,FIELD,LAB,ACTIVE,COMMENCED,CEASED,REGION,FISHING,FISH
221001,GENOA RIVER @ ROCKTON,GENOA R @ ROCKTON,414.716,AHD,125.6,55,705825.0,5887218.0,UTM,-37.13865499,149.3172961,WGS84,9,429.0,1,Y,Y,1,1993-05-26,,221,1,"bream, estuary perch, bass"
221201,CANN RIVER (WEST BRANCH) @ WEERAGUA,CANN (WB) @ WEERAGUA,153.956,AHD,311.0,55,694682.0,5861473.0,UTM,-37.37293559,149.1986606,WGS84,9,169.0,1,Y,Y,1,1922-04-22,,221,0,
221207,ERRINUNDRA RIVER @ ERRINUNDRA,ERRINUNDRA @ ERRINUN,0.0,GAU,162.0,55,669418.0,5853798.0,UTM,-37.44703719,148.9152556,WGS84,9,168.0,1,n,n,1,1968-02-20,,221,0,
221208,WINGAN RIVER @ WINGAN INLET NATIONAL PARK,WINGAN @WINGAN INLET,0.0,ARB,420.0,55,719710.3000000002,5825779.5,UTM,-37.688768,149.49176727,WGS84,9,50.0,1,Y,Y,1,1979-06-22,,221,0,
221209,CANN RIVER (EAST BRANCH) @ WEERAGUA,CANN (EBR) WEERAGUA,0.0,,154.0,55,695470.0,5863398.0,UTM,-37.35543111,149.2070458,WGS84,9,202.0,1,Y,N,1,1972-10-23,,221,0,
221210,GENOA RIVER @ THE GORGE,GENOA @ GORGE,0.0,,837.0,55,723046.0,5856007.0,UTM,-37.41577078,149.5203757,WGS84,9,102.0,1,Y,Y,1,1972-08-22,,221,1,"bream, estuary perch, bass"
221211,COMBIENBAR RIVER @ COMBIENBAR,COMBIENBAR @ COMB.,0.0,GAU,179.0,55,675439.0,5854433.0,UTM,-37.44019449,148.9831348,WGS84,9,189.0,1,Y,Y,1,1974-08-12,,221,0,
221212,BEMM RIVER @ PRINCES HIGHWAY,BEMM @ PRINCES HWY,0.0,,725.0,55,667855.0,5836059.0,UTM,-37.60712619,148.9016487,WGS84,9,82.0,1,Y,Y,1,1975-04-30,,221,1,"flathead, bream, bass, estuary perch"
221218,BETKA RIVER @ MINERS TRACK,BETKA R @ MINERS TRK,0.0,ARB,0.0,55,732688.0,5835801.0,UTM,-37.59533524,149.63561819,WGS84,1,0.0,1,N,N,1,1996-01-16,,221,0,
221224,CANN RIVER U/S CANN RIVER OFFTAKE,CANN RV U/S O/TAKE,0.0,,0.0,55,690544.0,5843171.0,UTM,-37.53864684,149.156689,WGS84,,0.0,,y,N,1,2009-03-11,,221,0,
221225,BEMM RIVER U/S OF PUMPHOUSE,BEMM R U/S PUMPHOUSE,0.0,,0.0,55,671929.0,5822377.0,UTM,-37.72962305,148.9510043,WGS84,,0.0,,N,N,1,2009-09-23,,221,1,"flathead, bream, bass, estuary perch"
221800,RAINGAUGE (GENOA RIVER) @ THE GORGE,RG @ THE GORGE,0.0,ARB,0.0,55,722715.0,5855916.4,,-37.41666667,149.5166667,,1,0.0,1,N,N,1,1972-08-22,1992-10-01 00:00:00.000,221,1,"bream, estuary perch, bass"
222200,SNOWY RIVER @ JARRAHMOND,SNOWY R @ JARRAHMOND,0.0,AHD,13421.0,55,620071.0,5830901.0,UTM,-37.66108607,148.3613139,WGS84,9,27.0,1,Y,Y,1,1889-04-01,,222,0,
222201,SNOWY RIVER @ ORBOST,SNOWY R @ ORBOST,-0.141,AHD,13572.0,55,627898.0,5825644.4,UTM,-37.70739307,148.45095033,WGS84,9,7.0,1,Y,Y,1,1907-04-13,,222,0,
222202,BRODRIBB RIVER @ SARDINE CREEK,BRODRIBB @ SARDINE,78.59099999999998,AHD,658.0,55,636752.0,5847240.0,UTM,-37.51153449,148.5473254,WGS84,9,103.0,1,Y,N,1,1922-04-24,,222,0,
222203,SNOWY RIVER @ MARLO JETTY,SNOWY @ MARLO JETTY,-0.745,AHD,0.0,55,634504.8,5815384.5,,-37.79888889,148.52777780000002,,1,0.0,1,N,N,1,1934-06-25,,222,0,
